"Ibero","Global",Uni,País
1,101-150,Universidad de São Paulo,Brasil 
2=,151-200,Universidad de Barcelona,España 
2=,151-200,Universidad de Lisboa,Portugal
4=,201-300,Universidad Autónoma de Barcelona,España 
4=,201-300,Universidad de Buenos Aires,Argentina
4=,201-300,Universidad Complutense de Madrid,España 
4=,201-300,Universidad de Granada,España 
4=,201-300,Universidad Nacional Autónoma de México,México 
4=,201-300,Universidad de Valencia,España 
10=,301-400,Universidad Autónoma de Madrid,España
10=,301-400,Universidad Estatal de Campinas,Brasil
10=,301-400,Universidad Estatal Paulista,Brasil
10=,301-400,Universidad de Oporto,Portugal
10=,301-400,Universidad del País Vasco,España
10=,301-400,Universidad Politécnica de Valencia,España
10=,301-400,Universidad Pompeu Fabra,España
17=,401-500,Universidad de Chile,Chile
17=,401-500,Universidad Federal de Minas Gerais,Brasil
17=,401-500,Universidad Federal de Río Grande del Sur,Brasil
17=,401-500,Universidad Federal de Río de Janeiro,Brasil
17=,401-500,Universidad del Miño,Portugal
17=,401-500,Universidad Nueva de Lisboa,Portugal
17=,401-500,Universidad de Oviedo,España
17=,401-500,Universidad de Santiago de Compostela,España
17=,401-500,Universidad de Sevilla,España
17=,401-500,Universidad de Zaragoza,España
27=,501-600,Instituto Politécnico Nacional,México
27=,501-600,Pontificia Universidad Católica de Chile,Chile
27=,501-600,Universidad de Coímbra,Portugal
27=,501-600,Universidad de las Islas Baleares,España
27=,501-600,Universidad de Navarra,España
27=,501-600,Universidad Politécnica de Madrid,España
27=,501-600,Universidad Rovira i Virgili,España
27=,501-600,Universidad de Vigo,España
35=,601-700,Universidad de Alicante,España
35=,601-700,Universidad de Aveiro,Portugal
35=,601-700,Universidad Federal de Paraná,Brasil
35=,601-700,Universidad Federal de São Paulo,Brasil
35=,601-700,Universidad Jaime I,España
35=,601-700,Universidad de La Laguna,España
35=,601-700,Universidad Miguel Hernández de Elche,España
42=,701-800,Universidad de Brasilia,Brasil
42=,701-800,Universidad de Córdoba,España
42=,701-800,Universidad de Extremadura,España
42=,701-800,Universidad Federal Fluminense,Brasil
42=,701-800,Universidad Federal de São Carlos,Brasil
42=,701-800,Universidad Federal de Santa Catarina,Brasil
42=,701-800,Universidad de Jaén,España
42=,701-800,Universidad de Lérida,España
42=,701-800,Universidad de Málaga,España
42=,701-800,Universidad de Murcia,España 
42=,701-800,Universidad Nacional de Colombia,Colombia
42=,701-800,Universidad Politécnica de Cataluña,España
42=,701-800,Universidad de Salamanca,España
55=,801-900,Universidad de Alcalá,España
55=,801-900,Universidad de Cantabria,España
55=,801-900,Universidad de Castilla-La Mancha,España
55=,801-900,Universidad de Concepción,Chile
55=,801-900,Universidad Federal de Goiás,Brasil
55=,801-900,Universidad Federal de Pelotas,Brasil 
55=,801-900,Universidad Federal de Pernambuco,Brasil
55=,801-900,Universidad Federal de Río Grande del Norte,Brasil 
55=,801-900,Universidad Federal de Viçosa,Brasil 
55=,801-900,Universidad de Gerona,España
55=,801-900,Universidad de Las Palmas de Gran Canaria,España
55=,801-900,Universidad Pablo Olavide,España
55=,801-900,Universidad de Valladolid,España
68=,901-1000,Universidad Andrés Bello,Chile 
68=,901-1000,Universidad de Cádiz,España
68=,901-1000,Universidad Carlos III de Madrid,España
68=,901-1000,Universidad de Costa Rica,Costa Rica 
68=,901-1000,Universidad Estatal de Río de Janeiro,Brasil
68=,901-1000,Universidad Federal de Bahía,Brasil
68=,901-1000,Universidad Federal de Ceara,Brasil
68=,901-1000,Universidad Federal de Mato Grueso del Sur,Brasil
68=,901-1000,Universidad Federal de Santa María,Brasil
68=,901-1000,Universidad de la República,Uruguay 
68=,901-1000,Universidad Rey Juan Carlos,España
